title;shops;catalogue_numbers;manufacturer;description;is_new;price;is_available;delivery_days_from;delivery_days_to;properties;images;compatibility;count
Двигатель Hyundai I30 1,6 G4FG;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4fg;Hyundai;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;55000;True;0;0;0;https://static-eu.insales.ru/images/products/1/269/81174797/myimage.jpg;;1
Двигатель Hyundai Getz 1,4 G4EE;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4ee;Hyundai;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;28000;True;0;0;0;https://static-eu.insales.ru/images/products/1/319/81174847/myimage.jpg;;1
Двигатель Kia Cerato 1,6 G4FC;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4fc;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;45000;True;0;0;0;https://static-eu.insales.ru/images/products/1/1099/81175627/myimage.jpg;;1
Двигатель Kia Cerato 3 1,6 G4FG;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4fg;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;55000;True;0;0;0;https://static-eu.insales.ru/images/products/1/1146/81175674/myimage.jpg;;1
Двигатель Kia Rio 1 1,3 A3E;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;a3e;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;38000;True;0;0;0;https://static-eu.insales.ru/images/products/1/1208/81175736/myimage.jpg;;1
Двигатель Kia Rio 2 1,4 G4EE;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4ee;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;35000;True;0;0;0;https://static-eu.insales.ru/images/products/1/1249/81175777/myimage.jpg;;1
Двигатель Kia Rio 2 1,4 SHP;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;shp;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;40000;True;0;0;0;https://static-eu.insales.ru/images/products/1/1418/81175946/myimage.jpg;;1
Двигатель Kia Rio 3 1,4 G4FA;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4fa;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;33000;True;0;0;0;https://static-eu.insales.ru/images/products/1/1524/81176052/myimage.jpg;;1
Двигатель Kia Sportage 2.0D D4HA;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;d4ha;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;125000;True;0;0;0;https://static-eu.insales.ru/images/products/1/1676/81176204/myimage.jpg;;1
Двигатель Kia Sportage 2.0 G4GC;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4gc;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;37000;True;0;0;0;https://static-eu.insales.ru/images/products/1/1885/81176413/myimage.jpg;;1
